s.no.,name,Company-Name,Location,Year,Kilometers_Driven,Fuel_type,Transmission,Owner_type,Mileage,Engine,power,seats,New_price,Price,Depreciation_percent
1390,"BMW 3 Series 320d Luxury Line",BMW,Hyderabad,2013,30000,Diesel,Automatic,First,18.88,1995,184,5,,22,NULL
1391,"Hyundai Verna 1.6 SX CRDi (O)",Hyundai,Delhi,2012,70707,Diesel,Manual,First,22.32,1582,126.32,5,,4.28,NULL
1392,"Renault Duster 85PS Diesel RxL",Renault,Coimbatore,2015,64677,Diesel,Manual,First,20.45,1461,83.8,5,,5.67,NULL
1393,"Hyundai Grand i10 1.2 Kappa Magna AT",Hyundai,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197,81.86,5,7.98,6.2,22.30576441102757
1394,"BMW X1 sDrive20d",BMW,Bangalore,2013,49000,Diesel,Automatic,Second,17.05,1995,184,5,,14.49,NULL
1395,"Maruti Ritz VDi",Maruti,Pune,2010,71000,Diesel,Manual,First,21.1,1248,73.9,5,,3,NULL
1396,"Hyundai i10 Era 1.1 iTech SE",Hyundai,Jaipur,2010,52000,Petrol,Manual,Second,19.81,1086,68.05,5,,2.25,NULL
1397,"BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater",BMW,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993,258,7,,43.78,NULL
1398,"Honda City V MT Exclusive",Honda,Kochi,2019,5377,Petrol,Manual,First,16.8,1497,116.3,5,,11.45,NULL
1399,"Mahindra Ssangyong Rexton RX7",Mahindra,Delhi,2014,65000,Diesel,Automatic,First,11.18,2696,184,7,,10.5,NULL
1400,"Ford Ecosport 1.5 DV5 MT Titanium Optional",Ford,Coimbatore,2015,92708,Diesel,Manual,First,22.7,1498,89.84,5,,7.48,NULL
1401,"Maruti Alto LXi",Maruti,Coimbatore,2010,48105,Petrol,Manual,First,19.7,796,46.3,5,,3.1,NULL
1402,"Volkswagen Polo 1.2 MPI Highline",Volkswagen,Mumbai,2011,46759,Petrol,Manual,First,16.47,1198,74,5,,2.55,NULL
1403,"Volkswagen Polo Diesel Comfortline 1.2L",Volkswagen,Jaipur,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,,3.5,NULL
1404,"Volkswagen Polo Diesel Highline 1.2L",Volkswagen,Kolkata,2012,35175,Diesel,Manual,First,22.07,1199,73.9,5,,2.59,NULL
1405,"Maruti Ertiga ZDI",Maruti,Kolkata,2013,70000,Diesel,Manual,First,20.77,1248,88.8,7,,5.45,NULL
1406,"Ford EcoSport 1.5 TDCi Ambiente",Ford,Kolkata,2017,30000,Diesel,Manual,First,22.77,1498,98.59,5,,6,NULL
1407,"Toyota Innova Crysta 2.8 ZX AT",Toyota,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755,171.5,7,24.82,15.49,37.59065269943594
1408,"BMW 5 Series 523i Sedan",BMW,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497,150,5,,12.5,NULL
1409,"Maruti Swift Dzire Tour LDI",Maruti,Kolkata,2017,148000,Diesel,Manual,First,23.4,1248,74,5,,4.75,NULL
1410,"Ford Ecosport 1.0 Ecoboost Platinum Edition",Ford,Mumbai,2017,22000,Petrol,Manual,First,18.88,999,123.24,5,,7.85,NULL
1411,"Hyundai Verna CRDi SX",Hyundai,Ahmedabad,2013,75000,Diesel,Manual,First,16.8,1493,110,5,,6,NULL
1412,"Tata Zest Revotron 1.2T XM",Tata,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193,88.7,5,7.63,4,47.575360419397114
1413,"Audi A7 2011-2015 3.0 TDI Quattro",Audi,Mumbai,2011,42000,Diesel,Automatic,First,14.4,2967,241.4,5,,28.75,NULL
1414,"Tata Indica Vista Quadrajet VX",Tata,Pune,2012,65000,Diesel,Manual,First,22.3,1248,74,5,,2.5,NULL
1415,"Maruti Swift Dzire VDI",Maruti,Delhi,2015,76128,Diesel,Manual,First,26.59,1248,74,5,,5.5,NULL
1416,"Fiat Linea Emotion",Fiat,Kolkata,2010,39852,Petrol,Manual,First,16,1368,90,5,,1.59,NULL
1417,"Hyundai i20 1.2 Spotz",Hyundai,Mumbai,2017,18673,Petrol,Manual,First,18.6,1197,81.83,5,,6.22,NULL
1418,"Hyundai EON Era Plus",Hyundai,Kolkata,2016,11583,Petrol,Manual,First,21.1,814,55.2,5,,2.75,NULL
1419,"Hyundai Santro Xing XL",Hyundai,Chennai,2007,82000,Petrol,Manual,Second,0,1086,NULL,5,,1.35,NULL
1420,"Mercedes-Benz GLA Class 200 CDI SPORT",Mercedes-Benz,Pune,2017,50000,Diesel,Automatic,First,17.9,2143,136,5,,25,NULL
1421,"Maruti Celerio VXI",Maruti,Delhi,2014,77000,Petrol,Manual,First,23.1,998,67.04,5,,2.8,NULL
1422,"Chevrolet Beat LT",Chevrolet,Mumbai,2014,54890,Petrol,Manual,Second,17.8,1199,76.8,5,,2.45,NULL
1423,"Honda Jazz 1.2 V AT i VTEC Privilege",Honda,Pune,2016,21000,Petrol,Automatic,First,19,1199,88.7,5,,6.35,NULL
1424,"BMW 3 Series 320d Highline",BMW,Mumbai,2009,58557,Diesel,Automatic,Third,16.07,1995,181,5,,8,NULL
1425,"Renault Duster 110PS Diesel RxL",Renault,Bangalore,2014,70000,Diesel,Manual,First,19.01,1461,108.45,5,,8.25,NULL
1426,"Ford Figo 2015-2019 1.5P Titanium AT",Ford,Mumbai,2017,16000,Petrol,Automatic,First,17.01,1499,110.4,5,,5.95,NULL
1427,"Toyota Innova Crysta 2.4 VX MT",Toyota,Kochi,2018,8899,Diesel,Manual,First,13.68,2393,147.8,7,22.86,19.92,12.860892388451434
1428,"Chevrolet Beat Diesel LS",Chevrolet,Kochi,2016,83629,Diesel,Manual,First,25.44,936,56.3,5,,3.15,NULL
1429,"Volkswagen Polo GTI",Volkswagen,Chennai,2014,35059,Petrol,Automatic,First,17.21,1798,189,4,,5.75,NULL
1430,"Ford Endeavour 3.2 Trend AT 4X4",Ford,Kochi,2018,30552,Diesel,Automatic,First,10.91,3198,197.2,7,,32.44,NULL
1431,"Hyundai Verna 1.6 SX CRDI (O) AT",Hyundai,Kochi,2016,44875,Diesel,Automatic,Second,22.32,1582,126.32,5,,8.01,NULL
1432,"Ford Figo 2015-2019 1.2P Titanium Opt MT",Ford,Coimbatore,2017,25095,Petrol,Manual,First,18.16,1196,86.8,5,,6.48,NULL
1433,"Maruti 800 AC",Maruti,Jaipur,2007,59000,Petrol,Manual,First,16.1,796,37,4,,0.75,NULL
1434,"Honda City i DTEC V",Honda,Kolkata,2014,36000,Diesel,Manual,First,26,1498,98.6,5,,5,NULL
1435,"Mahindra XUV500 W8 2WD",Mahindra,Mumbai,2012,37000,Diesel,Manual,First,16,2179,140,7,,7.75,NULL
1436,"Ford Figo Diesel ZXI",Ford,Chennai,2010,90000,Diesel,Manual,First,20,1399,68,5,,2.6,NULL
1437,"Ford EcoSport 1.5 Petrol Titanium",Ford,Pune,2018,17000,Petrol,Manual,First,17,1497,121.36,5,11.06,9.2,16.817359855334548
1438,"Hyundai i20 Asta 1.2",Hyundai,Mumbai,2015,42575,Petrol,Manual,First,18.6,1197,81.83,5,,5.05,NULL
1439,"Toyota Innova 2.5 G (Diesel) 7 Seater BS IV",Toyota,Hyderabad,2012,131000,Diesel,Manual,First,12.99,2494,100,7,,9.6,NULL
1440,"Renault Duster 85PS Diesel RxL Optional",Renault,Mumbai,2013,74000,Diesel,Manual,First,20.46,1461,83.8,5,,5.5,NULL
1441,"Toyota Innova 2.5 VX (Diesel) 8 Seater",Toyota,Mumbai,2013,47234,Diesel,Manual,First,12.99,2494,100.6,8,,9.35,NULL
1442,"Honda City 1.5 S MT",Honda,Delhi,2009,231673,Petrol,Manual,First,17,1497,118,5,,2.6,NULL
1443,"Maruti Alto K10 VXI",Maruti,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998,67.1,5,4.53,3.5,22.737306843267113
1444,"Nissan Micra Active XL Petrol",Nissan,Kochi,2016,49389,Petrol,Manual,First,19.49,1198,67.04,5,,4.26,NULL
1445,"Maruti Celerio VXI AT",Maruti,Chennai,2016,12000,Petrol,Automatic,Second,23.1,998,67.04,5,,4.25,NULL
1446,"Mercedes-Benz New C-Class 200 Kompressor",Mercedes-Benz,Hyderabad,2010,65000,Petrol,Manual,Second,11.7,1796,178,5,,11.75,NULL
1447,"Ford Fiesta Diesel Style",Ford,Chennai,2013,177000,Diesel,Manual,First,23.5,1498,88.7,5,,3.5,NULL
1448,"Hyundai Verna 1.6 VTVT S",Hyundai,Jaipur,2015,89000,Petrol,Manual,First,17.01,1591,121.3,5,,7.5,NULL
1449,"Hyundai i20 1.4 Asta (AT)",Hyundai,Chennai,2009,72000,Petrol,Automatic,Third,15,1396,100,5,,3.25,NULL
1450,"Maruti Swift Dzire VXi",Maruti,Chennai,2012,49000,Petrol,Manual,First,17.5,1298,85.8,5,,4.9,NULL
1451,"Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command",Mercedes-Benz,Hyderabad,2014,51355,Diesel,Automatic,First,14.84,2143,170,5,,27,NULL
1452,"Hyundai Elite i20 Petrol Asta",Hyundai,Kochi,2017,13460,Petrol,Manual,First,18.6,1197,81.86,5,,8.91,NULL
1453,"Hyundai Verna 1.6 VTVT EX AT",Hyundai,Kochi,2014,35642,Petrol,Automatic,First,17.01,1591,121.4,5,,6.69,NULL
1454,"Chevrolet Cruze LTZ",Chevrolet,Kochi,2014,52895,Diesel,Manual,First,17.3,1998,163.7,5,,6.02,NULL
1455,"Toyota Corolla Altis 1.8 G",Toyota,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798,138.03,5,19.39,4.5,76.79216090768438
1456,"Maruti A-Star Vxi",Maruti,Pune,2011,70000,Petrol,Manual,First,19,998,66.1,5,,2,NULL
1457,"Nissan Micra Diesel XV Premium",Nissan,Kolkata,2012,32048,Diesel,Manual,First,23.08,1461,63.1,5,,2.4,NULL
1458,"Tata Nano LX",Tata,Pune,2013,4700,Petrol,Manual,First,25.4,624,37.48,4,,1.2,NULL
1459,"Maruti Swift Dzire Tour LDI",Maruti,Delhi,2014,71800,Diesel,Manual,First,23.4,1248,74,5,,2.9,NULL
1460,"Land Rover Range Rover Sport 2005 2012 Sport",Land,Coimbatore,2008,69078,Petrol,Manual,First,0,,NULL,,,40.88,NULL
1461,"Audi Q3 2.0 TDI Quattro",Audi,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32,1968,184,5,,27,NULL
1462,"Honda Amaze VX i-DTEC",Honda,Chennai,2016,15388,Diesel,Manual,First,25.8,1498,98.6,5,,7.5,NULL
1463,"Chevrolet Optra 1.6 LS",Chevrolet,Mumbai,2004,98798,Petrol,Manual,First,14.7,1599,104,5,,1.5,NULL
1464,"Audi Q5 2.0 TDI Premium Plus",Audi,Hyderabad,2016,43000,Diesel,Automatic,First,14.16,1968,174.3,5,,39.5,NULL
1465,"Maruti Ritz VDi",Maruti,Hyderabad,2012,85112,Diesel,Manual,First,23.2,1248,73.94,5,,3.39,NULL
1466,"Mahindra Scorpio S6 7 Seater",Mahindra,Kochi,2018,37804,Diesel,Manual,First,15.4,2179,120,7,,12.4,NULL
1467,"Maruti Ciaz ZDi SHVS",Maruti,Chennai,2014,45000,Diesel,Manual,First,28.09,1248,88.5,5,,6.85,NULL
1468,"Toyota Corolla Altis Aero D 4D J",Toyota,Pune,2011,116000,Diesel,Manual,Second,21.43,1364,138,5,,5.75,NULL
1469,"Tata Indica V2 eLS",Tata,Chennai,2015,100073,Diesel,Manual,Second,25,1396,69,5,,2,NULL
1470,"Maruti 800 Std BSIII",Maruti,Jaipur,2006,165000,Petrol,Manual,First,16.1,796,37,4,,0.9,NULL
1471,"Volkswagen Polo 1.2 MPI Highline",Volkswagen,Kolkata,2015,22000,Petrol,Manual,First,16.47,1198,74,5,,3.8,NULL
1472,"Hyundai Elantra 2.0 SX Option AT",Hyundai,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999,149.92,5,21.77,16.35,24.89664676159852
1473,"Toyota Fortuner 4x2 4 Speed AT",Toyota,Hyderabad,2012,152000,Diesel,Automatic,First,11.5,2982,169,7,,16.5,NULL
1474,"Maruti Baleno Zeta 1.2",Maruti,Coimbatore,2019,17705,Petrol,Manual,First,21.4,1197,83.1,5,,8.7,NULL
1475,"Maruti Baleno Zeta 1.2",Maruti,Mumbai,2016,12000,Petrol,Manual,First,21.4,1197,83.1,5,,6.1,NULL
1476,"Mini Cooper Countryman D",Mini,Hyderabad,2013,51000,Diesel,Automatic,First,23.8,1998,112,5,,21.94,NULL
1477,"Mercedes-Benz S Class 2005 2013 320 CDI",Mercedes-Benz,Chennai,2009,42000,Diesel,Automatic,Second,13,2987,210,5,,22,NULL
1478,"Maruti Alto K10 LXI",Maruti,Delhi,2015,51000,Petrol,Manual,First,20.92,998,67.1,5,,2.65,NULL
1479,"Maruti Swift VXI Optional",Maruti,Kochi,2017,42527,Petrol,Manual,First,20.4,1197,81.8,5,,5.27,NULL
1480,"Chevrolet Sail LT ABS",Chevrolet,Kolkata,2014,45000,Diesel,Manual,First,22.1,1248,74,5,,2.48,NULL
1481,"Toyota Innova 2.5 G (Diesel) 8 Seater BS IV",Toyota,Kolkata,2011,70000,Diesel,Manual,First,12.8,2494,102,8,,6,NULL
1482,"Toyota Fortuner 3.0 Diesel",Toyota,Mumbai,2009,92000,Diesel,Manual,First,11.5,2982,171,7,,8.9,NULL
1483,"BMW 3 Series 320d Sport Line",BMW,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88,1995,184,5,,18,NULL
1484,"Skoda Octavia Ambition 1.4 TSI MT",Skoda,Coimbatore,2016,53211,Petrol,Manual,First,16.8,1395,138.02,5,,11.64,NULL
1485,"Toyota Fortuner 3.0 Diesel",Toyota,Kolkata,2019,80000,Diesel,Manual,First,11.5,2982,171,7,,8.99,NULL
1486,"Volkswagen Jetta 2007-2011 1.9 Highline TDI",Volkswagen,Bangalore,2009,74000,Diesel,Automatic,First,15.5,1896,105,5,,5.25,NULL
1487,"Hyundai i20 1.4 CRDi Asta",Hyundai,Kolkata,2011,37000,Diesel,Manual,First,23,1396,90,5,,2.95,NULL
1488,"Tata Manza Club Class Quadrajet90 LX",Tata,Mumbai,2013,64000,Diesel,Manual,Second,21.02,1248,88.76,5,,2.65,NULL
1489,"Volkswagen Vento Petrol Highline",Volkswagen,Pune,2013,57197,Petrol,Manual,First,15.04,1598,103.6,5,,4,NULL
1490,"Hyundai Creta 1.6 SX Automatic Diesel",Hyundai,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5,18.35,12.5,31.88010899182562
1491,"Maruti Ritz VXI",Maruti,Mumbai,2014,33000,Petrol,Manual,First,21.1,1197,85.8,5,,3.25,NULL
1492,"Honda CR-V 2.0L 2WD MT",Honda,Delhi,2008,70000,Petrol,Manual,First,13.1,1997,141.1,5,,4,NULL
1493,"Mahindra XUV500 W8 2WD",Mahindra,Delhi,2012,75000,Diesel,Manual,Second,15.1,2179,140,7,,6.25,NULL
1494,"Volkswagen Ameo 1.5 TDI Comfortline",Volkswagen,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498,108.62,5,9.19,5.8,36.88792165397171
1495,"Tata Zest Revotron 1.2 XT",Tata,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193,88.7,5,8.09,5,38.195302843016066
1496,"Jaguar XJ 3.0L Portfolio LWB",Jaguar,Kochi,2016,17652,Diesel,Automatic,First,12.9,2993,270.88,5,,58.73,NULL
1497,"Toyota Corolla Altis 1.8 VL CVT",Toyota,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798,138.03,5,23.25,17.49,24.774193548387103
1498,"Maruti A-Star Vxi",Maruti,Pune,2011,69000,Petrol,Manual,Second,19,998,66.1,5,,1.95,NULL
1499,"Honda Accord VTi-L (AT)",Honda,Mumbai,2007,80000,Petrol,Automatic,First,11.1,2354,142,5,,3,NULL
1500,"Hyundai i20 Asta (o)",Hyundai,Delhi,2014,42365,Petrol,Manual,First,17,1197,80,5,,5.5,NULL
1501,"Toyota Fortuner 4x2 AT",Toyota,Delhi,2013,123000,Diesel,Automatic,First,12.55,2982,168.5,7,,16.5,NULL
1502,"Mercedes-Benz New C-Class C 200 CGI Avantgarde",Mercedes-Benz,Mumbai,2011,40000,Petrol,Automatic,Second,11.74,1796,186,5,,14.5,NULL
1503,"Maruti Baleno Alpha 1.3",Maruti,Hyderabad,2016,30112,Diesel,Manual,First,27.39,1248,74,5,,7.79,NULL
1504,"Maruti Ertiga VDI",Maruti,Kochi,2017,43775,Diesel,Manual,First,20.77,1248,88.76,7,,8.27,NULL
1505,"Land Rover Range Rover Sport SE",Land,Kochi,2019,26013,Diesel,Automatic,First,12.65,2993,255,5,139,97.07,30.165467625899282
1506,"Chevrolet Optra Magnum 1.6 LT ABS BS3",Chevrolet,Mumbai,2012,56000,Petrol,Manual,First,12.9,1598,102.5,5,,2.15,NULL
1507,"Honda Civic 2006-2010 1.8 V AT",Honda,Hyderabad,2008,95000,Petrol,Automatic,Second,12.9,1799,130,5,,3,NULL
1508,"BMW X3 xDrive20d",BMW,Coimbatore,2014,41089,Diesel,Automatic,First,16.09,1995,184,5,,28.79,NULL
1509,"Skoda Laura Ambition 2.0 TDI CR AT",Skoda,Mumbai,2011,41988,Diesel,Automatic,First,20,1968,138.1,5,,5.45,NULL
1510,"Maruti Swift Dzire VDI",Maruti,Delhi,2013,72486,Diesel,Manual,First,23.4,1248,74,5,,3.95,NULL
1511,"Volvo V40 Cross Country D3",Volvo,Pune,2013,92000,Diesel,Automatic,First,23.3,1984,150,5,,16,NULL
1512,"Maruti Swift Dzire ZXi",Maruti,Delhi,2013,40000,Petrol,Manual,First,17.5,1298,85.8,5,,4.25,NULL
1513,"Land Rover Range Rover 2.2L Pure",Land,Bangalore,2014,56000,Diesel,Automatic,First,12.7,2179,187.7,5,,34.5,NULL
1514,"Honda Accord 2.4 AT",Honda,Mumbai,2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5,,2.6,NULL
1515,"Toyota Innova 2.5 G (Diesel) 8 Seater",Toyota,Kochi,2017,29219,Diesel,Manual,First,12.99,2494,100.6,8,,13.48,NULL
1516,"Toyota Fortuner 4x4 MT",Toyota,Hyderabad,2018,39927,Diesel,Manual,First,12.55,2982,168.5,7,,32.1,NULL
1517,"Honda Jazz 1.2 E i VTEC",Honda,Kochi,2018,38593,Petrol,Manual,First,18.7,1199,88.7,5,,6.17,NULL
1518,"Honda City 1.5 V MT",Honda,Kolkata,2015,32000,Petrol,Manual,First,17,1497,118,5,,5.5,NULL
1519,"Maruti Dzire AMT ZDI Plus",Maruti,Hyderabad,2017,28226,Diesel,Automatic,First,28.4,1248,73.75,5,11.52,9.15,20.57291666666666
1520,"Nissan Sunny 2011-2014 Diesel XL",Nissan,Pune,2014,95000,Diesel,Manual,First,21.64,1461,84.8,5,,4.5,NULL
1521,"Toyota Innova 2.5 G (Diesel) 8 Seater",Toyota,Chennai,2014,194000,Diesel,Manual,First,12.99,2494,100.6,8,,10.5,NULL
1522,"Honda Brio S MT",Honda,Coimbatore,2016,14821,Petrol,Manual,First,19.4,1198,86.8,5,,5.37,NULL
1523,"Volkswagen Vento Petrol Trendline",Volkswagen,Bangalore,2012,52000,Petrol,Manual,First,15.04,1598,103.6,5,,5.45,NULL
1524,"Mahindra XUV500 W4",Mahindra,Mumbai,2016,33000,Diesel,Manual,First,16,2179,140,7,,9.25,NULL
1525,"Ford EcoSport 1.5 Diesel Titanium Plus",Ford,Chennai,2016,29200,Diesel,Manual,First,23,1498,98.96,5,13.23,7.7,41.798941798941804
1526,"Skoda Yeti Ambition 4X2",Skoda,Hyderabad,2012,99754,Diesel,Manual,First,17.72,1968,108.49,5,,7.99,NULL
1527,"Hyundai i10 Sportz",Hyundai,Chennai,2012,49000,Petrol,Manual,First,20.36,1197,78.9,5,,3,NULL
1528,"Toyota Innova 2.5 G (Diesel) 8 Seater BS IV",Toyota,Hyderabad,2005,299322,Diesel,Manual,First,12.8,2494,102,8,,4,NULL
1529,"Tata Zest Quadrajet 1.3 XT",Tata,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248,88.7,5,10.06,6.69,33.49900596421471
1530,"Maruti Swift VDI",Maruti,Delhi,2014,56000,Diesel,Manual,First,22.9,1248,74,5,,4.25,NULL
1531,"Skoda Rapid 1.5 TDI AT Style",Skoda,Kolkata,2017,31300,Diesel,Automatic,First,21.72,1498,108.4,5,15.34,10.5,31.55149934810952
1532,"Toyota Innova Crysta 2.4 VX MT 8S",Toyota,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393,147.8,8,24.01,22.55,6.080799666805501
1533,"Hyundai Verna 1.6 SX VTVT",Hyundai,Pune,2014,48000,Petrol,Manual,Second,17.01,1591,121.3,5,,5.2,NULL
1534,"Honda City i VTEC VX Option",Honda,Coimbatore,2019,23882,Petrol,Manual,First,17.4,1497,117.3,5,,11.87,NULL
1535,"Honda City i DTEC SV",Honda,Hyderabad,2014,65000,Diesel,Manual,First,26,1498,98.6,5,,6.99,NULL
1536,"Volkswagen Vento Diesel Highline",Volkswagen,Jaipur,2011,50000,Diesel,Manual,First,20.54,1598,103.6,5,,5,NULL
1537,"Audi Q5 2008-2012 3.0 TDI",Audi,Chennai,2014,25000,Diesel,Automatic,First,12.19,2967,236,5,,44,NULL
1538,"Maruti Alto 800 LXI",Maruti,Chennai,2015,21000,Petrol,Manual,First,22.74,796,47.3,5,,2.79,NULL
1539,"Tata Manza ELAN Quadrajet BS IV",Tata,Pune,2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5,,2.9,NULL
1540,"Hyundai Creta 1.6 SX Plus Dual Tone Petrol",Hyundai,Delhi,2016,68000,Petrol,Manual,First,15.29,1591,121.3,5,,9.85,NULL
1541,"Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury",Mercedes-Benz,Bangalore,2014,52000,Diesel,Automatic,First,12,2987,224,7,,49,NULL
1542,"Mahindra Thar CRDe",Mahindra,Jaipur,2016,19000,Diesel,Manual,First,16.55,2498,105,6,11.39,9.25,18.78841088674276
1543,"Hyundai Verna 1.6 CRDI",Hyundai,Mumbai,2011,74000,Diesel,Manual,Second,22.32,1582,126.3,5,,3.75,NULL
1544,"Ford Aspire Titanium Diesel",Ford,Coimbatore,2017,30279,Diesel,Manual,First,26.1,1498,99,5,9.79,7.29,25.536261491317664
1545,"Mini Cooper 3 DOOR D",Mini,Mumbai,2016,20000,Diesel,Automatic,First,20.7,1496,113.98,4,35,23.5,32.857142857142854
1546,"Maruti Omni 8 Seater BSIV",Maruti,Hyderabad,2013,34834,Petrol,Manual,First,14,796,35,5,,2.6,NULL
1547,"Mahindra Verito 1.5 D4 BSIV",Mahindra,Pune,2015,90000,Diesel,Manual,Second,21.03,1461,65,5,9.26,3.1,66.52267818574515
1548,"Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance",Mercedes-Benz,Coimbatore,2016,38730,Diesel,Automatic,First,14.21,2143,203,5,,29.98,NULL
1549,"Renault Duster 110PS Diesel RxZ",Renault,Kochi,2016,57390,Diesel,Manual,First,19.01,1461,108.45,5,,6.73,NULL
1550,"Maruti Swift Dzire Tour LDI",Maruti,Kolkata,2016,100000,Diesel,Manual,First,23.4,1248,74,5,,3.5,NULL
1551,"Volkswagen Polo Petrol Highline 1.2L",Volkswagen,Kolkata,2011,50000,Petrol,Manual,First,16.47,1198,73.9,5,,2.35,NULL
1552,"Mahindra XUV500 W10 2WD",Mahindra,Coimbatore,2017,64961,Diesel,Manual,First,16,2179,140,7,,16.13,NULL
1553,"Volkswagen Polo 1.2 MPI Highline",Volkswagen,Coimbatore,2014,72465,Petrol,Manual,First,16.47,1198,74,5,,5.9,NULL
1554,"Maruti Ritz VXI",Maruti,Hyderabad,2012,68776,Petrol,Manual,First,21.1,1197,85.8,5,,3.9,NULL
1555,"Chevrolet Optra 1.6 Elite",Chevrolet,Pune,2005,150000,Petrol,Manual,First,14.7,1598,NULL,5,,1.5,NULL
1556,"Toyota Innova 2.5 GX 7 STR BSIV",Toyota,Delhi,2012,68000,Diesel,Manual,First,12.8,2494,102,7,,6.95,NULL
1557,"Honda City i DTec SV",Honda,Delhi,2015,33000,Diesel,Manual,First,26,1498,98.6,5,,7,NULL
1558,"Volkswagen Ameo 1.2 MPI Highline",Volkswagen,Coimbatore,2017,22389,Petrol,Manual,First,17,1198,73.75,5,8.68,7.23,16.705069124423954
1559,"Maruti SX4 ZDI Leather",Maruti,Mumbai,2012,90000,Diesel,Manual,First,21.5,1248,88.8,5,,3.81,NULL
1560,"Maruti Swift ZXI",Maruti,Chennai,2012,42000,Petrol,Manual,Third,18.6,1197,85.8,5,,4.5,NULL
1561,"Hyundai Creta 1.6 CRDi SX",Hyundai,Pune,2017,38767,Diesel,Manual,First,19.67,1582,126.2,5,,12.6,NULL
1562,"Audi Q7 35 TDI Quattro Technology",Audi,Bangalore,2015,21000,Diesel,Automatic,First,12.07,2967,241.4,7,,48,NULL
1563,"Maruti Alto LXi BSIII",Maruti,Coimbatore,2010,59136,Petrol,Manual,First,19.7,796,46.3,5,,2.96,NULL
1564,"Honda Amaze SX i-DTEC",Honda,Kolkata,2014,36000,Diesel,Manual,First,25.8,1498,98.6,5,,3.25,NULL
1565,"Volkswagen Passat Diesel Highline 2.0 TDI",Volkswagen,Chennai,2011,95000,Diesel,Automatic,Second,18.33,1968,167.7,5,,8.5,NULL
1566,"Hyundai Elantra CRDi SX AT",Hyundai,Mumbai,2013,51000,Diesel,Automatic,First,19.5,1582,126.24,5,,8.75,NULL
1567,"Maruti Wagon R VXI BS IV",Maruti,Kochi,2011,36411,Petrol,Manual,First,18.9,998,67.1,5,,3.08,NULL
1568,"Land Rover Discovery Sport TD4 HSE 7S",Land,Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999,148.31,7,66.39,41.5,37.49058593161621
1569,"Honda City i VTEC SV",Honda,Pune,2016,27300,Petrol,Manual,First,17.8,1497,117.3,5,,7,NULL
1570,"Mercedes-Benz New C-Class C 200 Avantgarde Edition C",Mercedes-Benz,Kochi,2011,29813,Petrol,Automatic,Second,14.74,1991,181.03,5,,11.5,NULL
1571,"Maruti Wagon R LX BS IV",Maruti,Pune,2011,71000,Petrol,Manual,First,20.51,998,67.04,5,,2.6,NULL
1572,"Hyundai Verna 1.6 CRDI",Hyundai,Kolkata,2014,32000,Diesel,Manual,First,22.32,1582,126.3,5,,4.3,NULL
1573,"Maruti Ertiga VXI CNG",Maruti,Mumbai,2017,19234,CNG,Manual,First,17.5,1373,80.46,7,,8.35,NULL
1574,"Volkswagen Tiguan 2.0 TDI Highline",Volkswagen,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968,141,5,36.45,24.9,31.68724279835392
1575,"BMW X1 sDrive 20d Exclusive",BMW,Pune,2011,102000,Diesel,Automatic,First,15.06,1995,177,5,,13.75,NULL
1576,"Hyundai Grand i10 1.2 CRDi Sportz Option",Hyundai,Kolkata,2014,42277,Diesel,Manual,First,24,1186,73.97,5,,3.85,NULL
1577,"Mercedes-Benz E-Class E250 CDI Avantgrade",Mercedes-Benz,Mumbai,2014,46000,Diesel,Automatic,First,13,2143,201.1,5,,23.25,NULL
1578,"Mahindra Bolero ZLX",Mahindra,Chennai,2012,35000,Diesel,Manual,First,13.6,2523,NULL,7,,7,NULL
1579,"Hyundai Grand i10 Asta Option",Hyundai,Bangalore,2015,50000,Petrol,Manual,First,18.9,1197,82,5,,5.75,NULL
1580,"Hyundai i10 Magna 1.2",Hyundai,Mumbai,2008,62000,Petrol,Manual,Second,20.36,1197,78.9,5,,1.65,NULL
